ContractReference;EconomicActivity 
1023844;PARTIC
1024022;PARTIC
102272471005;PARTIC
1024600;PARTIC
1024629271001;PARTIC
102405;PARTIC
1024405671001;PARTIC
1024405671002;PARTIC
1025055;PARTIC
1025095371003;PARTIC
1025222;PARTIC
1025270571003;PARTIC
102547;PARTIC
1025499;PARTIC
1025666;PARTIC
1025681471001;PARTIC
1025727971004;PARTIC
1025833;PARTIC
102471871004;PARTIC
1024767671001;PARTIC
1024196071001;PARTIC
1024877;PARTIC
1024232871002;PARTIC
1024266;PARTIC
1024269171004;PARTIC
1026866;PARTIC
102689;PARTIC
1026965071001;PARTIC
1027044;PARTIC
1027178571002;PARTIC
1027211;PARTIC
102734;PARTIC
1027441371003;PARTIC
1027488;PARTIC
1027526571001;PARTIC
1025927315001;PARTIC
1025927378001;PARTIC
1024643771004;PARTIC
102469410001;PARTIC
1025992671001;PARTIC
1027655;PARTIC
1026422;PARTIC
1026699;PARTIC
1028244;PARTIC
1028364871002;PARTIC
1028411;PARTIC
1028488771001;PARTIC
1028576371001;PARTIC
1028649471002;PARTIC
1028688;PARTIC
1028712871001;PARTIC
102569170006;PROM IMOB
102876;PARTIC
1028787871001;PARTIC
1027899;PARTIC
1027901171001;PARTIC
1028041571003;PARTIC
102805315001;PARTIC
1028077;PARTIC
1028092310001;PARTIC
1029551171001;PARTIC
1029611;PARTIC
1029624271001;PARTIC
1029723910001;CONSTR
1029723972001;CONSTR
1029886515001;PARTIC
1029888;PARTIC
1030088;PARTIC
1028848871003;PARTIC
1028855;PARTIC
1029033;PARTIC
1029164471001;PARTIC
1029200;PARTIC
102921;PARTIC
1029477;PARTIC
1029548771001;PARTIC
1030866;PARTIC
1030905171001;PARTIC
1031021371002;PARTIC
1031044;PARTIC
103119;PARTIC
1031206215003;COMER
1031211;PARTIC
1031220771001;PARTIC
1030134171002;PARTIC
103021271001;PARTIC
1030255;PARTIC
1031395471004;PARTIC
1031455;PARTIC
1030422;PARTIC
103045471001;PARTIC
1030699;PARTIC
103074;PARTIC
1030771071001;PARTIC
103084171001;PARTIC
1032077;PARTIC
103220610001;PARTIC
1032244;PARTIC
1032382315001;PARTIC
1032494171001;PARTIC
1031456471001;PARTIC
103157215001;CONSTR
103157240001;CONSTR
103157240002;CONSTR
1031622;PARTIC
1031899;PARTIC
103395371001;PARTIC
103395371002;PARTIC
1034066;PARTIC
1034233;PARTIC
1034254071002;PARTIC
103261;NULL
1032688;PARTIC
1032855;PARTIC
1032980510002;PARTIC
1033033;PARTIC
1033277;PARTIC
1033444;PARTIC
1033454410001;PARTIC
1033454471001;PARTIC
1033611;PARTIC
1033888;PARTIC
1033891915001;PARTIC
1033891971001;PARTIC
1035022;PARTIC
103505271001;PARTIC
1035114671003;PARTIC
1035266;PARTIC
1035314070001;PARTIC
1034278210001;PARTIC
1035433;PARTIC
1035464510001;SERV
1035464570004;SERV
1035600;PARTIC
1035663971008;PARTIC
1035824671006;PARTIC
1035877;PARTIC
1034392471001;PARTIC
1034400;PARTIC
103448;PARTIC
1034677;PARTIC
103590;PARTIC
1036055;PARTIC
103617071002;PARTIC
103482973002;PARTIC
1034844;PARTIC
1036388010001;PARTIC
1036400671001;PARTIC
1036412770001;PARTIC
1036449071002;PARTIC
1036499;PARTIC
1036648471001;PARTIC
1036666;PARTIC
103667871001;PARTIC
1036959671002;PARTIC
10370;PARTIC
1036222;PARTIC
1036349371001;PARTIC
103635;PARTIC
1037808171001;PARTIC
1037866;PARTIC
1037910271003;PARTIC
1038009571001;PARTIC
1038044;NULL
1038211;NULL
1036709471004;PARTIC
1036800;PARTIC
1037049271002;PARTIC
1037063771004;PARTIC
1037088;PARTIC
1037255;PARTIC
1037422;PARTIC
1037511471001;PARTIC
103755470001;PARTIC
1037699;PARTIC
1037759271002;PARTIC
103777;PARTIC
1039077;PARTIC
1039122770002;PARTIC
1039210371002;PARTIC
1039234571001;PARTIC
1039244;PARTIC
1039360810001;COMER
103822;PARTIC
1038488;NULL
1039411;PARTIC
1039446071003;PARTIC
1038622;NULL
1038758271001;PARTIC
1038860310001;PARTIC
1038860371001;PARTIC
1038899;NULL
104005771006;PARTIC
1040167471001;PARTIC
104017871004;PARTIC
104020;PARTIC
1040222;PARTIC
104032371006;PARTIC
1040442371005;PARTIC
104044471004;PARTIC
1040454471002;PARTIC
1040466;PARTIC
103954871002;PARTIC
1039584471003;PARTIC
103964;PARTIC
103966971007;PARTIC
1039688;PARTIC
1039771771001;PARTIC
103979070001;PARTIC
103979071005;PARTIC
1039932471002;PARTIC
1040;PARTIC
1040938471002;PARTIC
1041341610001;PARTIC
1041422;PARTIC
104162;PARTIC
104168371003;PARTIC
104168371008;PARTIC
1041699;PARTIC
1040503371002;PARTIC
1040633;NULL
104170771002;PARTIC
104170771004;PARTIC
1040665971002;PARTIC
104071071004;PARTIC
1040789810001;PARTIC
1042455;PARTIC
104255971005;PARTIC
1042564271001;PARTIC
10415;PARTIC
1042622;PARTIC
104268071003;PARTIC
104168371006;PARTIC
104168371007;PARTIC
104182871004;PARTIC
1041866;PARTIC
1042044;PARTIC
104207;PARTIC
1042288;PARTIC
104229371003;PARTIC
1042440371002;PARTIC
104355671003;PARTIC
1043688;PARTIC
1043786871003;PARTIC
104379871003;PARTIC
104379871005;PARTIC
104379871006;PARTIC
104382271003;PARTIC
104394371001;PARTIC
104282571004;PARTIC
1042899;PARTIC
104349;PARTIC
104243871005;PARTIC
1044374910001;PARTIC
1044409371005;PARTIC
1044608771001;PARTIC
1044611;OUTROS
1044674010002;PARTIC
1044686110001;PARTIC
1044888;PARTIC
104491;PARTIC
104294671004;PARTIC
1043077;PARTIC
1043191010001;PARTIC
10432273002;PARTIC
1043959670001;SERV
1044025010001;PARTIC
104416671001;PARTIC
1044277;PARTIC
104428771002;PARTIC
1043244;PARTIC
1043411;PARTIC
104428771004;PARTIC
1044444;PARTIC
1045066;PARTIC
1045233;NULL
1045400;NULL
104567171004;PARTIC
1045677;NULL
1044075870001;PARTIC
104536;PARTIC
1047222;NULL
1045811;NULL
1045906871001;PARTIC
1045996371001;PARTIC
1046010971003;PARTIC
1046023071002;PARTIC
104723;PARTIC
1046099;NULL
1046397171001;PARTIC
1046433;NULL
1046460510001;PARTIC
1046600;NULL
1047145971003;PARTIC
104842071001;PARTIC
1048422;PARTIC
1048444071001;PARTIC
1046266;NULL
1046385015001;PARTIC
1047632371006;PARTIC
104678;PARTIC
104681371002;PARTIC
1046877;NULL
1047055;NULL
1047633;NULL
104742371001;PARTIC
1047499;NULL
1047800;NULL
1047843871001;PARTIC
1048088;PARTIC
1048679771003;PARTIC
1048699;PARTIC
1047406370001;COMER
1049542771001;PARTIC
1047573005;PARTIC
1048255;PARTIC
1048604771003;PARTIC
104865;PARTIC
1048655571001;PARTIC
104910;PARTIC
104941771004;PARTIC
1049455;PARTIC
1049554871004;PARTIC
1049622;PARTIC
104965971002;PARTIC
104965971003;PARTIC
1048866;PARTIC
1049044;PARTIC
104866215003;PARTIC
104866271003;PARTIC
1049105271003;PARTIC
104866271004;PARTIC
105004770001;PARTIC
105004771004;PARTIC
1049044271001;PARTIC
1050099;PARTIC
1050266;PARTIC
1049182671002;PARTIC
1049211;PARTIC
105028970001;PARTIC
105016871005;PARTIC
1049899;PARTIC
104980471003;PARTIC
104980471004;PARTIC
1049827371006;PARTIC
1051759271004;PARTIC
1051800;PARTIC
1050433;NULL
105055571004;PARTIC
1049953671002;PARTIC
105055573004;PARTIC
1050587471001;PARTIC
1051055;PARTIC
105179471005;PARTIC
105179471006;PARTIC
1050600;PARTIC
105108;PARTIC
105063;CONSTR
1051222;PARTIC
1051710810002;PARTIC
1050709471002;PARTIC
1050750571002;PARTIC
105082171005;PARTIC
1051633;PARTIC
1051698271003;PARTIC
1051708471003;PARTIC
105179471007;PARTIC
105031371004;PARTIC
1050877;PARTIC
1051808171002;PARTIC
105193971005;PARTIC
105204171005;PARTIC
1052088;PARTIC
1052422;PARTIC
1051374971002;PARTIC
1051466;PARTIC
105303815003;PARTIC
1053044;PARTIC
1053288;PARTIC
105330440003;COMER
1053899;PARTIC
105181871006;PARTIC
105403573002;PARTIC
1054077;PARTIC
1052255;PARTIC
1054206910001;PARTIC
105250;PARTIC
1052784871001;PARTIC
1052860371001;PARTIC
1052866;PARTIC
1052933410002;PARTIC
1053008571001;PARTIC
1054244;PARTIC
1054411;PARTIC
1054688;PARTIC
105427771003;PARTIC
1054822;PARTIC
1054931410001;PARTIC
1053433971001;PARTIC
1053455;PARTIC
1054943571002;PARTIC
1055000;PARTIC
105392;PARTIC
105624;PARTIC
1056400;PARTIC
1056644;PARTIC
1056739710001;COMER
1056739715001;COMER
1056739770002;COMER
1056927071001;PARTIC
1057004571001;PARTIC
1057099;PARTIC
1057266;PARTIC
1057303671003;PARTIC
1057433;PARTIC
1053533670001;IND TRANSF
1057454171001;PARTIC
1057600;PARTIC
1057940571002;PARTIC
1058055;PARTIC
1058166170002;PARTIC
1058003510001;PARTIC
1053622;PARTIC
105378810001;PARTIC
1053818271001;PARTIC
1058222;PARTIC
1058975870001;PARTIC
1059088;PARTIC
1059255;PARTIC
105926210001;PARTIC
105953;PARTIC
1059600771003;PARTIC
105926271002;PARTIC
1059866;PARTIC
1059671004;PARTIC
1059699;PARTIC
1060008571002;PARTIC
1055417470001;PARTIC
1055444;PARTIC
1055611;PARTIC
1055888;PARTIC
1060059310001;PARTIC
1060066;PARTIC
106009;PARTIC
10602;PARTIC
1060233;PARTIC
1060477;PARTIC
1060644;PARTIC
1061266;PARTIC
1061433;PARTIC
1060811;PARTIC
1060932471001;PARTIC
106103470003;COMER
105877315003;PARTIC
1058800;PARTIC
106241810001;PARTIC
1058633;PARTIC
106239471001;PARTIC
106239471002;PARTIC
1062466;PARTIC
1059899371002;PARTIC
1059449771001;PARTIC
1055183671003;PARTIC
1055277;PARTIC
1062055;PARTIC
1062299;PARTIC
1061600;PARTIC
1061877;PARTIC
1056066;PARTIC
1058402371001;PARTIC
1062633;PARTIC
106241871001;PARTIC
1057791971001;PARTIC
1057877;PARTIC
1057901810001;PARTIC
1062431971001;PARTIC
1056927071003;PARTIC
1062655510001;PARTIC
1058466;PARTIC
1062800;PARTIC
1060008570001;PARTIC
1059422;PARTIC
1062879110001;PARTIC
1062879171001;PARTIC
1062978810001;PARTIC
1062978871001;PARTIC
1063088;PARTIC
1063143915001;COMER
1063143940001;COMER
1063255;PARTIC
1063404371001;PARTIC
1063422;PARTIC
1063627971001;PARTIC
1063699;PARTIC
1064011;PARTIC
1064288;PARTIC
1056739770003;COMER
1056811;PARTIC
1065244;PARTIC
106525;PARTIC
1065277971004;PARTIC
106538570001;PARTIC
1065411;PARTIC
106553071008;PARTIC
1065577015001;COMER
1064079510001;PARTIC
1064293471001;PARTIC
1064455;PARTIC
1064515110002;PARTIC
1064622;PARTIC
106480;PARTIC
1064899;PARTIC
1065077;PARTIC
106514370003;HOT TUR
106638271001;PARTIC
1066444;PARTIC
106652771002;PARTIC
1066611;PARTIC
106667;PARTIC
1066700410001;PARTIC
1066736771002;PARTIC
1065577040001;COMER
1065655;NULL
1065822;PARTIC
1066000;PARTIC
106601971002;PARTIC
1066038871001;PARTIC
1066888;PARTIC
1066126410001;PARTIC
106626171004;PARTIC
1066277;PARTIC
1067477;PARTIC
106752471003;PARTIC
1067644;PARTIC
106764571004;PARTIC
1067709171001;PARTIC
1067711571001;PARTIC
1067811;PARTIC
106801371003;PARTIC
1068099;PARTIC
1068209671005;PARTIC
106825571008;PARTIC
1068266;PARTIC
1066924071001;PARTIC
106701671005;PARTIC
1067066;PARTIC
1067101270002;SERV
1069222;OUTROS
1069466;PARTIC
1069633;PARTIC
1069800;PARTIC
106996;PARTIC
1070000;PARTIC
1070156010001;PARTIC
1070267871004;PARTIC
1070277;PARTIC
1070379671003;PARTIC
1070444;PARTIC
106854;PARTIC
1068600;PARTIC
1068661610002;PARTIC
1069055;PARTIC
1071094071003;PARTIC
1071200;PARTIC
1071477;PARTIC
1071626910001;PARTIC
1071626971002;PARTIC
1071644;CONSTR
107194;PARTIC
107052;PARTIC
107177471002;PARTIC
1071811;PARTIC
1072099;PARTIC
1072141910001;PARTIC
1072438670004;AGROPEC
1072178271001;PARTIC
