ID_Account;EconomicActivity;ID_Customer;Nperiods;minStartDate;minStartDate_Year;CAE
191997670025;CONSTR;1919976;20;01.10.2008;2008;45201
191997670026;CONSTR;1919976;22;21.10.2008;2008;45201
191997670027;CONSTR;1919976;22;21.10.2008;2008;45201
191997670028;CONSTR;1919976;23;12.11.2008;2008;45201
191997670029;CONSTR;1919976;23;12.11.2008;2008;45201
191997670030;CONSTR;1919976;22;18.11.2008;2008;45201
191997670031;CONSTR;1919976;22;21.11.2008;2008;45201
191997670032;CONSTR;1919976;22;21.11.2008;2008;45201
191997670033;CONSTR;1919976;23;19.12.2008;2008;45201
208935240001;COMER;2089352;2;12.03.2008;2008;51900
218769170002;CONSTR;2187691;26;11.06.2008;2008;45201
284723170001;COMER;2847231;36;14.01.2008;2008;51900
295356615002;CONSTR;2953566;21;29.03.2008;2008;45203
316547470001;CONSTR;3165474;38;28.03.2008;2008;45100
436592140002;COMER;4365921;42;27.11.2008;2008;51900
449345670001;COMER;4493456;36;16.12.2008;2008;51900
449844170001;SERV;4498441;12;29.01.2008;2008;62200
475975140001;IND EXTRACT;4759751;24;04.08.2008;2008;10100
480427870002;ESTADO;4804278;14;31.10.2008;2008;75111
488628940001;CONSTR;4886289;4;21.07.2008;2008;45201
492186670001;SERV;4921866;23;31.10.2008;2008;93040
507525070005;SERV;5075250;2;22.12.2008;2008;45202
507525070006;SERV;5075250;2;22.12.2008;2008;45202
513314570002;IND EXTRACT;5133145;19;15.07.2008;2008;11100
585361740001;COMER;5853617;38;26.08.2008;2008;51900
639037270001;SERV;6390372;7;23.09.2008;2008;60230
790835470003;COMER;7908354;10;29.05.2008;2008;51900
804179715001;CONSTR;8041797;11;27.09.2008;2008;45201
833643670001;COMER;8336436;11;31.12.2008;2008;52530
856817170001;SERV;8568171;35;05.12.2008;2008;45202
898912540002;IND TRANSF;8989125;38;09.10.2008;2008;24230
898912540003;IND TRANSF;8989125;38;21.10.2008;2008;24230
932569070001;SERV;9325690;10;23.07.2008;2008;62200
1003937740001;CONSTR;10039377;3;19.08.2008;2008;45201
1029723970001;SERV;10297239;10;09.06.2008;2008;93040
1090385770001;COMER;10903857;10;22.10.2008;2008;52530
1092072570001;COMER;10920725;42;30.06.2008;2008;51900
1135799870001;SERV;11357998;14;26.02.2008;2008;93040
1135799870002;SERV;11357998;21;07.10.2008;2008;93040
1145473570001;SERV;11454735;36;30.12.2008;2008;72100
1160384970002;COMER;11603849;50;09.06.2008;2008;51900
1168462140001;SERV;11684621;31;20.05.2008;2008;70100
1171303570001;IND TRANSF;11713035;37;30.01.2008;2008;15470
1196887871001;SERV;11968878;9;15.09.2008;2008;70100
